prediction_index,fallback_entry_time_utc,fallback_side,fallback_sleeve,oracle_index,oracle_entry_time_utc,oracle_trade_number,absolute_delta_minutes,variant
230,2022-07-14 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3683,2022-07-14 00:20:00+00:00,4,10.0,MACRO_SURPRISE_CARRY
232,2022-07-15 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3684,2022-07-15 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
233,2022-07-15 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3687,2022-07-15 00:15:00+00:00,4,0.0,MACRO_SURPRISE_CARRY
237,2022-08-11 00:15:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3761,2022-08-11 00:20:00+00:00,2,5.0,MACRO_SURPRISE_CARRY
238,2022-08-11 00:30:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3763,2022-08-11 00:30:00+00:00,4,0.0,MACRO_SURPRISE_CARRY
240,2022-09-14 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3857,2022-09-14 00:15:00+00:00,2,15.0,MACRO_SURPRISE_CARRY
241,2022-09-14 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3859,2022-09-14 00:30:00+00:00,4,15.0,MACRO_SURPRISE_CARRY
247,2022-12-16 00:45:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4126,2022-12-16 01:00:00+00:00,3,15.0,MACRO_SURPRISE_CARRY
248,2023-01-09 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4188,2023-01-09 00:05:00+00:00,1,5.0,MACRO_SURPRISE_CARRY
249,2023-01-09 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4190,2023-01-09 00:15:00+00:00,3,0.0,MACRO_SURPRISE_CARRY
250,2023-01-09 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4191,2023-01-09 00:20:00+00:00,4,10.0,MACRO_SURPRISE_CARRY
252,2023-02-06 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4268,2023-02-06 00:05:00+00:00,1,5.0,MACRO_SURPRISE_CARRY
253,2023-02-06 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4269,2023-02-06 00:10:00+00:00,2,5.0,MACRO_SURPRISE_CARRY
256,2023-04-13 00:00:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4462,2023-04-13 00:10:00+00:00,3,10.0,MACRO_SURPRISE_CARRY
257,2023-04-13 00:15:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4463,2023-04-13 00:15:00+00:00,4,0.0,MACRO_SURPRISE_CARRY
260,2023-04-14 00:00:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4464,2023-04-14 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
261,2023-04-14 00:15:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4466,2023-04-14 00:15:00+00:00,3,0.0,MACRO_SURPRISE_CARRY
262,2023-04-14 00:30:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4467,2023-04-14 00:20:00+00:00,4,10.0,MACRO_SURPRISE_CARRY
268,2023-05-12 00:00:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4544,2023-05-12 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
269,2023-05-12 00:15:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4547,2023-05-12 00:15:00+00:00,4,0.0,MACRO_SURPRISE_CARRY
277,2023-07-10 00:15:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4709,2023-07-10 00:20:00+00:00,2,5.0,MACRO_SURPRISE_CARRY
278,2023-07-10 00:30:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4711,2023-07-10 00:30:00+00:00,4,0.0,MACRO_SURPRISE_CARRY
280,2023-08-07 00:00:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4788,2023-08-07 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
281,2023-08-07 00:15:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4789,2023-08-07 00:05:00+00:00,2,10.0,MACRO_SURPRISE_CARRY
288,2023-09-15 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4905,2023-09-15 00:10:00+00:00,2,10.0,MACRO_SURPRISE_CARRY
289,2023-09-15 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4906,2023-09-15 00:15:00+00:00,3,0.0,MACRO_SURPRISE_CARRY
290,2023-09-15 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,4907,2023-09-15 00:35:00+00:00,4,5.0,MACRO_SURPRISE_CARRY
303,2023-12-11 00:45:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5150,2023-12-11 01:00:00+00:00,3,15.0,MACRO_SURPRISE_CARRY
304,2023-12-13 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5156,2023-12-13 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
305,2023-12-13 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5159,2023-12-13 00:15:00+00:00,4,0.0,MACRO_SURPRISE_CARRY
308,2024-01-12 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5244,2024-01-12 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
309,2024-01-12 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5247,2024-01-12 00:15:00+00:00,4,0.0,MACRO_SURPRISE_CARRY
312,2024-01-15 00:00:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5248,2024-01-15 00:05:00+00:00,1,5.0,MACRO_SURPRISE_CARRY
313,2024-01-15 00:15:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5250,2024-01-15 00:15:00+00:00,3,0.0,MACRO_SURPRISE_CARRY
314,2024-01-15 00:30:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5251,2024-01-15 00:20:00+00:00,4,10.0,MACRO_SURPRISE_CARRY
316,2024-02-05 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5308,2024-02-05 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
317,2024-02-05 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5310,2024-02-05 00:15:00+00:00,3,0.0,MACRO_SURPRISE_CARRY
318,2024-02-05 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5311,2024-02-05 00:25:00+00:00,4,5.0,MACRO_SURPRISE_CARRY
320,2024-02-19 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5348,2024-02-19 00:05:00+00:00,1,5.0,MACRO_SURPRISE_CARRY
321,2024-02-19 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5349,2024-02-19 00:15:00+00:00,2,0.0,MACRO_SURPRISE_CARRY
322,2024-02-19 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5351,2024-02-19 00:25:00+00:00,4,5.0,MACRO_SURPRISE_CARRY
328,2024-06-10 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5668,2024-06-10 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
329,2024-06-10 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5671,2024-06-10 00:15:00+00:00,4,0.0,MACRO_SURPRISE_CARRY
336,2024-06-14 00:00:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5684,2024-06-14 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
337,2024-06-14 00:15:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5685,2024-06-14 00:15:00+00:00,2,0.0,MACRO_SURPRISE_CARRY
338,2024-06-14 00:30:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,5687,2024-06-14 00:25:00+00:00,4,5.0,MACRO_SURPRISE_CARRY
344,2025-02-10 00:00:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,6368,2025-02-10 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
353,2025-02-14 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,6386,2025-02-14 00:20:00+00:00,3,5.0,MACRO_SURPRISE_CARRY
354,2025-02-14 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,6387,2025-02-14 00:25:00+00:00,4,5.0,MACRO_SURPRISE_CARRY
357,2025-04-11 00:15:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,6545,2025-04-11 00:20:00+00:00,2,5.0,MACRO_SURPRISE_CARRY
358,2025-04-11 00:30:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,6547,2025-04-11 00:30:00+00:00,4,0.0,MACRO_SURPRISE_CARRY
360,2025-06-09 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,6708,2025-06-09 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
361,2025-06-09 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,6711,2025-06-09 00:15:00+00:00,4,0.0,MACRO_SURPRISE_CARRY
364,2025-06-12 00:00:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,6721,2025-06-12 00:10:00+00:00,2,10.0,MACRO_SURPRISE_CARRY
365,2025-06-12 00:15:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,6722,2025-06-12 00:15:00+00:00,3,0.0,MACRO_SURPRISE_CARRY
366,2025-06-12 00:30:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,6723,2025-06-12 00:20:00+00:00,4,10.0,MACRO_SURPRISE_CARRY
368,2025-07-04 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,6784,2025-07-04 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
369,2025-07-04 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,6786,2025-07-04 00:10:00+00:00,3,5.0,MACRO_SURPRISE_CARRY
370,2025-07-04 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,6787,2025-07-04 00:20:00+00:00,4,10.0,MACRO_SURPRISE_CARRY
