policy_id,attempt_no,timeframe,mechanic,entry_time,exit_time,direction,entry_price,exit_price,initial_stop,final_stop,initial_risk_price,risk_usd,entry_spread,entry_spread_r,exit_reason,gross_r,extra_cost_r,stress_net_r,holding_minutes,current_account_feasible
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-10-10 16:00:00+00:00,2016-10-18 03:50:00+00:00,SHORT,1259.49,1260.931708049626,1275.6703753520676,1260.931708049626,16.180375352067518,16.180375352067518,0.2819999999999254,0.017428520282373527,STOP,-0.08910226235522639,0.18062432921687444,-0.3197265915721008,10790.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-10-13 16:00:00+00:00,2016-10-18 08:25:00+00:00,SHORT,1257.262,1263.363326057897,1274.3229034739759,1263.363326057897,17.060903473976005,17.060903473976005,0.23900000000003274,0.014008636785536793,STOP,-0.3576203374694517,0.1136756752173481,-0.5212960126867998,6745.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-10-18 16:00:00+00:00,2016-10-19 12:00:00+00:00,SHORT,1262.579,1270.7,1274.9183392954963,1274.0605288818376,12.339339295496309,12.339339295496309,0.1390000000001237,0.011264784659163786,SIGNAL_EXIT,-0.6581389655898472,0.04794962294963531,-0.7560885885394826,1200.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-10-19 00:00:00+00:00,2016-10-25 18:10:00+00:00,SHORT,1263.621,1274.7081665334051,1277.7576982070225,1274.7081665334051,14.136698207022432,14.136698207022432,0.26900000000000546,0.019028488552325407,STOP,-0.7842826076528573,0.18851152627929385,-1.0227941339321511,9730.0,False
H4_DONCHIAN_20_10_TRAIL,11094,H4,DONCHIAN,2016-10-19 12:00:00+00:00,2016-10-24 14:30:00+00:00,LONG,1270.7,1262.2075715427954,1258.8207063018785,1262.2075715427954,11.87929369812154,11.87929369812154,0.2980000000000018,0.02508566650280936,STOP,-0.7148933828067148,0.17563824806042658,-0.9405316308671414,7350.0,False
H4_DONCHIAN_55_20_TRAIL,11095,H4,DONCHIAN,2016-10-19 12:00:00+00:00,2016-10-28 12:35:00+00:00,LONG,1270.7,1262.8555194868175,1256.4448475622542,1262.8555194868175,14.25515243774585,14.25515243774585,0.2980000000000018,0.020904722085674465,STOP,-0.5502908893777517,0.2426145184731068,-0.8429054078508585,12995.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-10-20 04:00:00+00:00,2016-10-21 07:20:00+00:00,LONG,1272.611,1261.1443427716695,1261.1443427716695,1261.1443427716695,11.466657228330586,11.466657228330586,0.25300000000015643,0.022063971649476988,STOP,-1.000000000000004,0.06092543774527922,-1.1109254377452833,1640.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-10-21 20:00:00+00:00,2016-10-28 12:35:00+00:00,LONG,1267.23,1264.820588131558,1256.2000327482863,1264.820588131558,11.02996725171377,11.02996725171377,0.31799999999998363,0.028830547973800618,STOP,-0.21844234107473537,0.2395147888918078,-0.5079571299665432,9635.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-10-26 08:00:00+00:00,2016-10-28 17:35:00+00:00,SHORT,1275.048,1277.4395939875235,1287.3064054218364,1277.4395939875235,12.2584054218365,12.2584054218365,0.28099999999994907,0.022923046703887763,STOP,-0.19509829420906807,0.09297758600919981,-0.3380758802182679,3455.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-10-31 04:00:00+00:00,2016-11-03 08:50:00+00:00,LONG,1277.061,1292.992418827966,1265.3638817665264,1292.992418827966,11.697118233473384,11.697118233473384,0.2819999999999254,0.024108502143111818,STOP,1.361995194882748,0.12143898033330444,1.1905562145494435,4610.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-10-31 08:00:00+00:00,2016-11-01 04:00:00+00:00,SHORT,1275.248,1277.332,1289.1587147861596,1287.536005206281,13.910714786159645,13.910714786159645,0.2739999999998872,0.019697046788170896,SIGNAL_EXIT,-0.14981257484148258,0.04253316064357388,-0.24234573548505645,1200.0,False
H4_DONCHIAN_20_10_TRAIL,11094,H4,DONCHIAN,2016-11-01 12:00:00+00:00,2016-11-03 08:50:00+00:00,LONG,1286.882,1292.992418827966,1275.087310941082,1292.992418827966,11.79468905891801,11.79468905891801,0.2740000000001146,0.02323079469339144,STOP,0.5180652747556643,0.08086855360746095,0.3871967211482034,2690.0,False
H4_DONCHIAN_55_20_TRAIL,11095,H4,DONCHIAN,2016-11-01 12:00:00+00:00,2016-11-03 11:15:00+00:00,LONG,1286.882,1290.4976552992937,1272.7283731292985,1290.4976552992937,14.153626870701613,14.153626870701613,0.2740000000001146,0.0193589955778262,STOP,0.2554578647808022,0.06988049840761211,0.13557736637319007,2835.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-11-01 20:00:00+00:00,2016-11-03 11:15:00+00:00,LONG,1287.471,1290.4976552992937,1273.1951017491917,1290.4976552992937,14.275898250808183,14.275898250808183,0.2619999999999436,0.018352610490559595,STOP,0.21201154884403406,0.06110969817846281,0.10090185066557124,2355.0,False
D1_DONCHIAN_20_10_TRAIL,11098,D1,DONCHIAN,2016-11-03 00:00:00+00:00,2016-11-08 23:10:00+00:00,LONG,1298.742,1271.034885811488,1271.034885811488,1271.034885811488,27.707114188512,27.707114188512,0.31399999999985084,0.011332829462623805,STOP,-0.9999999999999972,0.08618173679062821,-1.1361817367906255,8590.0,False
