candidate,decision_scope,frequency_bias_diagnosis,absolute_concentration_gate,cells,total_trades,max_absolute_single_trade_pct,max_absolute_top5_pct,max_normalized_top_trade_r,max_normalized_top5_trade_r,concentration_failed_cells,normalized_concentration_flag,gate_context
h1_tick_volume_climax_reversal_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,2904,100.0,100.0,0.065098,0.314496,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;no_catastrophic_failure;concentration;activity;cost_sensitivity
h1_tip_ief_real_yield_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1080,100.0,100.0,0.19527,0.765386,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration;activity
h1_tlt_shy_duration_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1467,100.0,493.3351,0.120781,0.596814,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_tlt_uup_pressure_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1473,100.0,100.0,0.134849,0.581675,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_tlt_uup_pressure_reversion_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1149,100.0,100.0,0.146139,0.667831,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_uso_uup_oil_dollar_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1353,100.0,145.2113,0.190808,0.664446,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_volatility_squeeze_breakout_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,2127,100.0,100.0,0.171019,0.82588,7,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_walk_forward_linear_state_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,5979,100.0,129.2628,0.230808,0.830408,7,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_xle_xlu_energy_defensive_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1182,100.0,176.7098,0.153925,0.653755,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_xlf_xlu_financials_defensive_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1488,152.1062,751.9574,0.189357,0.60207,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_xli_xlu_cyclical_defensive_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1425,100.0,103.6017,0.204349,0.646005,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
