candidate_id,attempt,archetype,direction,threshold,stop_atr,target_r,max_hold_bars,sha256
EURHUNT01_0155,155,trend_pullback_short,short,0.2,1.25,2.0,24,5d27a3c10e26553ac4ffc829757d3e5fc8794ecb07a1394c167b1ab23e11a554
EURHUNT01_0156,156,trend_pullback_short,short,0.2,1.5,0.75,24,4ead2322e97ed39130b3ef897a33b10e1acaffcda84d0de5384563081c883ffb
EURHUNT01_0157,157,trend_pullback_short,short,0.2,1.5,1.0,24,30f76b7efe4f686906d9ff11d07a289aba3f2fdb9c95d4f66ed8f9c7a6c2ccfb
EURHUNT01_0158,158,trend_pullback_short,short,0.2,1.5,1.25,24,acd0b8b07542fd1fafd7f0143cecbc9308bd42859d9913318ec5655d9745dbe5
EURHUNT01_0159,159,trend_pullback_short,short,0.2,1.5,1.5,24,cd682eafdb777550d47b29d80afa28268b2ea6bbc85a4ee15b3611ac2fa49a5e
EURHUNT01_0160,160,trend_pullback_short,short,0.2,1.5,2.0,24,f25ce329bbf362aef6740e9388a30eab612e8343211ed2e3600a597015333e29
EURHUNT01_0161,161,trend_pullback_short,short,0.3,0.75,0.75,24,bd1d990e24915639d09a96cc51e95ad0ea85b60fc32d5a89c659604c6b832fd0
EURHUNT01_0162,162,trend_pullback_short,short,0.3,0.75,1.0,24,f25f5d0f0b2ecd1ad3e5a6148a138a40d1c00db50cc6498929d3f4c3ea2fd734
EURHUNT01_0163,163,trend_pullback_short,short,0.3,0.75,1.25,24,ce7e40255bb84cb5a7801c0b29bdecb69723977b5357bf143fb3a148f36713dd
EURHUNT01_0164,164,trend_pullback_short,short,0.3,0.75,1.5,24,2b7ef28304a41e7eb6d479f9509b27cee22b18e76ee009438159f8252089cdbe
EURHUNT01_0165,165,trend_pullback_short,short,0.3,0.75,2.0,24,a107749505e8957ce78c57f78e9643910f12ca10fa9e6b73804b5bd1146411ba
EURHUNT01_0166,166,trend_pullback_short,short,0.3,1.0,0.75,24,4d8646334b35bde57da25147a1b41067ad780cce46f1a5fcf919d50fb6440a6f
EURHUNT01_0167,167,trend_pullback_short,short,0.3,1.0,1.0,24,437508d477878e6d32cc25c227a12cc69b1e3c0fb0b13b1517d334b51f503ae9
EURHUNT01_0168,168,trend_pullback_short,short,0.3,1.0,1.25,24,102a6c824053f659ec3198b78fce8fa5573a064b166368fcbbdd2e7d049aadb6
EURHUNT01_0169,169,trend_pullback_short,short,0.3,1.0,1.5,24,7e53fcdfce3a82cd9859d07d2eea3aae7662d64e8feeed3b0f1ab9431ac2606a
EURHUNT01_0170,170,trend_pullback_short,short,0.3,1.0,2.0,24,8051eef43e7b2d934974fa07742ff9bce4393ee885350080900f7d204d29ba9e
