date,open,high,low,close,source,regime,atr14,atr14_pct_252,ema50,ema200,ema50_slope_20_pct,ret20_pct,ret60_pct,range20_pct_rank_252
2018-11-19,1221.94,1223.07,1221.54,1222.58,capital_com_processed_d1,chop,9.183571428571392,14.682539682539684,1216.5633331828196,1239.9069218399127,0.37512533620549515,-0.73963416119317,2.213007164892855,55.158730158730165
2018-11-20,1222.58,1225.16,1217.97,1222.61,capital_com_processed_d1,compression,9.218571428571408,15.476190476190476,1216.8004573717287,1239.7348131648887,0.3248559572699872,-0.8852642416479539,2.3121725886625644,28.968253968253972
2018-11-21,1222.61,1228.7,1219.65,1220.25,capital_com_processed_d1,chop,9.69714285714284,31.349206349206348,1216.9357335532295,1239.5409344269297,0.272108569104601,-0.999537551619778,1.9440592156928282,29.761904761904763
2018-11-22,1220.24,1230.03,1219.72,1225.3,capital_com_processed_d1,chop,9.897142857142837,35.714285714285715,1217.2637440021224,1239.3992335868606,0.24945528711448617,-0.29862405103461276,1.5893809125052671,28.968253968253972
2018-11-23,1225.31,1229.06,1224.81,1226.82,capital_com_processed_d1,compression,9.311428571428548,18.650793650793652,1217.638499139294,1239.2740670835087,0.2574740929415231,0.45279990829367733,2.058948314158071,28.968253968253972
2018-11-24,1226.82,1228.49,1219.88,1222.51,capital_com_processed_d1,compression,8.962142857142826,11.507936507936508,1217.8295383887335,1239.1072604458618,0.2674456358163102,0.5113911978228858,2.4366741241631296,30.158730158730158
2018-11-26,1223.38,1224.36,1222.85,1222.85,capital_com_processed_d1,compression,8.596428571428532,5.952380952380952,1218.0264192362342,1238.9454966603307,0.22447303155199716,-0.8127377582389017,2.471173828517803,28.174603174603174
2018-11-27,1222.86,1228.07,1221.65,1222.98,capital_com_processed_d1,compression,7.912857142857092,1.984126984126984,1218.2206773054015,1238.786635997044,0.18404034045189643,-0.7925370107483287,2.052771241175577,27.77777777777778
2018-11-28,1222.98,1225.21,1211.82,1214.55,capital_com_processed_d1,compression,8.71499999999995,8.333333333333332,1218.076729175778,1238.5454754398595,0.11377203225784172,-1.5825554259043195,1.2589103339030405,28.174603174603174
2018-11-29,1214.55,1226.65,1211.15,1221.89,capital_com_processed_d1,compression,9.01999999999995,13.88888888888889,1218.2262692081006,1238.37974931608,0.08178082609278103,-0.6932592123014891,1.4934671196351834,28.174603174603174
