time_utc,event,trade_id,source,direction,decision,equity_usd,active_trades,active_gross_lots
2021-03-26T02:00:00Z,ENTRY,T00522,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-26T10:00:00Z,ENTRY,T00523,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-29T05:00:00Z,ENTRY,T00524,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-29T07:00:00Z,ENTRY,T00525,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-29T09:00:00Z,ENTRY,T00526,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-29T13:00:00Z,ENTRY,T00527,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-30T03:00:00Z,ENTRY,T00528,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-31T08:00:00Z,ENTRY,T00529,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-31T12:00:00Z,ENTRY,T00530,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-05-03T16:00:00Z,ENTRY,T00531,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-05-06T16:00:00Z,ENTRY,T00532,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-05-07T04:00:00Z,ENTRY,T00533,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-05-07T16:00:00Z,ENTRY,T00534,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-05-17T04:00:00Z,ENTRY,T00535,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-05-17T08:00:00Z,ENTRY,T00536,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-05-17T16:00:00Z,ENTRY,T00537,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-05-18T08:00:00Z,ENTRY,T00538,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-05-19T16:00:00Z,ENTRY,T00539,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-05-25T16:00:00Z,ENTRY,T00540,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-05-25T20:00:00Z,ENTRY,T00541,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-05-26T04:00:00Z,ENTRY,T00542,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-05-26T08:00:00Z,ENTRY,T00543,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-05-31T04:00:00Z,ENTRY,T00544,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-05-31T22:05:00Z,ENTRY,T00545,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-06-01T04:00:00Z,ENTRY,T00546,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-06-25T01:00:00Z,ENTRY,T00547,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-06-25T05:15:00Z,ENTRY,T00548,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-06-28T12:00:00Z,ENTRY,T00549,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-06-28T15:00:00Z,ENTRY,T00550,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-06-28T23:00:00Z,ENTRY,T00551,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-06-29T01:00:00Z,ENTRY,T00552,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-06-29T02:00:00Z,ENTRY,T00553,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-06-29T08:00:00Z,ENTRY,T00554,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-06-29T09:00:00Z,ENTRY,T00555,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-06-29T20:00:00Z,ENTRY,T00556,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-06-30T04:00:00Z,ENTRY,T00557,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-06-30T05:00:00Z,ENTRY,T00558,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-06-30T06:00:00Z,ENTRY,T00559,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-06-30T13:00:00Z,ENTRY,T00560,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-07-26T18:00:00Z,ENTRY,T00561,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-07-27T02:00:00Z,ENTRY,T00562,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-07-27T05:00:00Z,ENTRY,T00563,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
