time_utc,timestamp_ms,ticks,spread_median,spread_p90,spread_p95,spread_p99,spread_last,atr,broker_spread_median_atr,broker_spread_p90_atr,dukascopy_open_spread,dukascopy_open_spread_atr,tick_spread_mean,tick_spread_last,tick_spread_max,broker_p90_minus_dukascopy_mean
2026-06-15T01:50:00.000Z,1781488200000,1655,0.5,0.75,0.75,0.75,0.5,7.023302536263672,0.07119157937712806,0.10678736906569208,0.6700000000000728,0.09539671636536196,0.6827904509283883,0.6700000000000728,0.930000000000291,0.0672095490716117
2026-06-15T01:55:00.000Z,1781488500000,1531,0.5,0.75,0.75,0.75,0.5,6.788780926530538,0.07365092575693544,0.11047638863540316,0.680000000000291,0.10016525902947507,0.6918433098591639,0.680000000000291,0.8869999999997162,0.05815669014083613
2026-06-15T02:00:00.000Z,1781488800000,1791,0.5,0.75,0.75,0.75,0.5,6.907439431778278,0.0723857233839368,0.10857858507590519,0.6799999999993815,0.09844458380206451,0.6581044668587678,0.6799999999993815,0.7700000000004366,0.09189553314123222
2026-06-15T02:05:00.000Z,1781489100000,1509,0.5,0.75,0.75,0.75,0.5,6.6553723295083875,0.07512727691929649,0.11269091537894474,0.5800000000008367,0.08714764122650966,0.6763486410496777,0.680000000000291,0.8969999999999345,0.07365135895032227
2026-06-15T02:10:00.000Z,1781489400000,1674,0.5,0.75,0.75,0.75,0.75,6.664631448829207,0.07502290319261935,0.11253435478892902,0.6099999999996726,0.09152794189494648,0.6807433016421803,0.680000000000291,0.75,0.06925669835781967
2026-06-15T02:15:00.000Z,1781489700000,1262,0.5,0.75,0.75,0.75,0.5,6.488943488198544,0.0770541461656048,0.11558121924840718,0.680000000000291,0.10479363878526737,0.6767370892018928,0.7299999999995634,0.8000000000001819,0.0732629107981072
2026-06-15T02:20:00.000Z,1781490000000,1361,0.5,0.75,0.75,0.75,0.75,6.447947524755788,0.07754405538822016,0.11631608308233025,0.7200000000002547,0.11166343975907654,0.6838281430219176,0.7300000000004729,0.9269999999996799,0.06617185697808237
2026-06-15T02:25:00.000Z,1781490300000,1004,0.5,0.75,0.75,0.75,0.5,6.292379844416056,0.07946119153053147,0.1191917872957972,0.7299999999995634,0.11601333963450657,0.6797831978319787,0.7300000000004729,0.7400000000006912,0.07021680216802129
2026-06-15T02:30:00.000Z,1781490600000,1590,0.5,0.75,0.75,0.75,0.5,6.158638426957772,0.08118677625420992,0.12178016438131488,0.7299999999995634,0.1185326933310756,0.6861282051282186,0.6500000000005457,0.9700000000002547,0.0638717948717814
2026-06-15T02:35:00.000Z,1781490900000,1434,0.5,0.5,0.75,0.75,0.5,6.133735682175038,0.08151639162623629,0.08151639162623629,0.680000000000291,0.11086229261172881,0.6913967022308296,0.680000000000291,0.9700000000002547,-0.1913967022308296
