timestamp_utc,bar_start_utc,bar_end_utc,broker,symbol,timeframe,open,high,low,close,mid_open,mid_high,mid_low,mid_close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_open_points,spread_close_points,spread_median_points,spread_p95_points,tick_count,volume_sum
2025-02-19T00:00:00Z,2025-02-18T00:00:00Z,2025-02-19T00:00:00Z,dukascopy,XAUUSD,D1,2899.135,2936.825,2891.775,2933.778,2899.135,2936.825,2891.775,2933.778,,,,,,,,,,,,,1.0,0.0
2025-02-20T00:00:00Z,2025-02-19T00:00:00Z,2025-02-20T00:00:00Z,dukascopy,XAUUSD,D1,2933.778,2946.865,2918.365,2935.085,2933.778,2946.865,2918.365,2935.085,,,,,,,,,,,,,1.0,0.0
2025-02-21T00:00:00Z,2025-02-20T00:00:00Z,2025-02-21T00:00:00Z,dukascopy,XAUUSD,D1,2935.125,2954.755,2923.945,2941.205,2935.125,2954.755,2923.945,2941.205,,,,,,,,,,,,,1.0,0.0
2025-02-22T00:00:00Z,2025-02-21T00:00:00Z,2025-02-22T00:00:00Z,dukascopy,XAUUSD,D1,2941.255,2949.545,2916.615,2934.955,2941.255,2949.545,2916.615,2934.955,,,,,,,,,,,,,1.0,0.0
2025-02-23T00:00:00Z,2025-02-22T00:00:00Z,2025-02-23T00:00:00Z,dukascopy,XAUUSD,D1,2934.955,2934.955,2934.955,2934.955,2934.955,2934.955,2934.955,2934.955,,,,,,,,,,,,,1.0,0.0
2025-02-24T00:00:00Z,2025-02-23T00:00:00Z,2025-02-24T00:00:00Z,dukascopy,XAUUSD,D1,2934.815,2940.068,2933.198,2936.635,2934.815,2940.068,2933.198,2936.635,,,,,,,,,,,,,1.0,0.0
2025-02-25T00:00:00Z,2025-02-24T00:00:00Z,2025-02-25T00:00:00Z,dukascopy,XAUUSD,D1,2936.485,2956.035,2921.055,2949.795,2936.485,2956.035,2921.055,2949.795,,,,,,,,,,,,,1.0,0.0
2025-02-26T00:00:00Z,2025-02-25T00:00:00Z,2025-02-26T00:00:00Z,dukascopy,XAUUSD,D1,2949.745,2952.405,2888.085,2918.405,2949.745,2952.405,2888.085,2918.405,,,,,,,,,,,,,1.0,0.0
2025-02-27T00:00:00Z,2025-02-26T00:00:00Z,2025-02-27T00:00:00Z,dukascopy,XAUUSD,D1,2918.485,2929.995,2890.588,2918.995,2918.485,2929.995,2890.588,2918.995,,,,,,,,,,,,,1.0,0.0
2025-02-28T00:00:00Z,2025-02-27T00:00:00Z,2025-02-28T00:00:00Z,dukascopy,XAUUSD,D1,2918.975,2918.975,2867.565,2875.815,2918.975,2918.975,2867.565,2875.815,,,,,,,,,,,,,1.0,0.0
2025-03-01T00:00:00Z,2025-02-28T00:00:00Z,2025-03-01T00:00:00Z,dukascopy,XAUUSD,D1,2875.825,2884.925,2832.455,2856.998,2875.825,2884.925,2832.455,2856.998,,,,,,,,,,,,,1.0,0.0
2025-03-02T00:00:00Z,2025-03-01T00:00:00Z,2025-03-02T00:00:00Z,dukascopy,XAUUSD,D1,2856.998,2856.998,2856.998,2856.998,2856.998,2856.998,2856.998,2856.998,,,,,,,,,,,,,1.0,0.0
2025-03-03T00:00:00Z,2025-03-02T00:00:00Z,2025-03-03T00:00:00Z,dukascopy,XAUUSD,D1,2855.205,2876.905,2855.075,2870.608,2855.205,2876.905,2855.075,2870.608,,,,,,,,,,,,,1.0,0.0
2025-03-04T00:00:00Z,2025-03-03T00:00:00Z,2025-03-04T00:00:00Z,dukascopy,XAUUSD,D1,2870.608,2894.985,2858.735,2890.625,2870.608,2894.985,2858.735,2890.625,,,,,,,,,,,,,1.0,0.0
2025-03-05T00:00:00Z,2025-03-04T00:00:00Z,2025-03-05T00:00:00Z,dukascopy,XAUUSD,D1,2890.605,2927.715,2881.648,2914.075,2890.605,2927.715,2881.648,2914.075,,,,,,,,,,,,,1.0,0.0
2025-03-06T00:00:00Z,2025-03-05T00:00:00Z,2025-03-06T00:00:00Z,dukascopy,XAUUSD,D1,2913.945,2929.748,2894.145,2918.165,2913.945,2929.748,2894.145,2918.165,,,,,,,,,,,,,1.0,0.0
2025-03-07T00:00:00Z,2025-03-06T00:00:00Z,2025-03-07T00:00:00Z,dukascopy,XAUUSD,D1,2918.145,2926.425,2890.815,2910.058,2918.145,2926.425,2890.815,2910.058,,,,,,,,,,,,,1.0,0.0
2025-03-08T00:00:00Z,2025-03-07T00:00:00Z,2025-03-08T00:00:00Z,dukascopy,XAUUSD,D1,2910.058,2930.185,2895.698,2909.355,2910.058,2930.185,2895.698,2909.355,,,,,,,,,,,,,1.0,0.0
2025-03-09T00:00:00Z,2025-03-08T00:00:00Z,2025-03-09T00:00:00Z,dukascopy,XAUUSD,D1,2909.355,2909.355,2909.355,2909.355,2909.355,2909.355,2909.355,2909.355,,,,,,,,,,,,,1.0,0.0
2025-03-10T00:00:00Z,2025-03-09T00:00:00Z,2025-03-10T00:00:00Z,dukascopy,XAUUSD,D1,2910.905,2916.678,2909.475,2915.908,2910.905,2916.678,2909.475,2915.908,,,,,,,,,,,,,1.0,0.0
2025-03-11T00:00:00Z,2025-03-10T00:00:00Z,2025-03-11T00:00:00Z,dukascopy,XAUUSD,D1,2915.908,2918.125,2879.935,2884.405,2915.908,2918.125,2879.935,2884.405,,,,,,,,,,,,,1.0,0.0
2025-03-12T00:00:00Z,2025-03-11T00:00:00Z,2025-03-12T00:00:00Z,dukascopy,XAUUSD,D1,2884.475,2922.048,2879.938,2915.148,2884.475,2922.048,2879.938,2915.148,,,,,,,,,,,,,1.0,0.0
2025-03-13T00:00:00Z,2025-03-12T00:00:00Z,2025-03-13T00:00:00Z,dukascopy,XAUUSD,D1,2915.148,2940.348,2905.755,2937.925,2915.148,2940.348,2905.755,2937.925,,,,,,,,,,,,,1.0,0.0
2025-03-14T00:00:00Z,2025-03-13T00:00:00Z,2025-03-14T00:00:00Z,dukascopy,XAUUSD,D1,2937.925,2989.785,2932.768,2986.195,2937.925,2989.785,2932.768,2986.195,,,,,,,,,,,,,1.0,0.0
2025-03-15T00:00:00Z,2025-03-14T00:00:00Z,2025-03-15T00:00:00Z,dukascopy,XAUUSD,D1,2986.175,3004.725,2978.085,2983.795,2986.175,3004.725,2978.085,2983.795,,,,,,,,,,,,,1.0,0.0
2025-03-16T00:00:00Z,2025-03-15T00:00:00Z,2025-03-16T00:00:00Z,dukascopy,XAUUSD,D1,2983.795,2983.795,2983.795,2983.795,2983.795,2983.795,2983.795,2983.795,,,,,,,,,,,,,1.0,0.0
2025-03-17T00:00:00Z,2025-03-16T00:00:00Z,2025-03-17T00:00:00Z,dukascopy,XAUUSD,D1,2984.285,2993.905,2983.048,2989.915,2984.285,2993.905,2983.048,2989.915,,,,,,,,,,,,,1.0,0.0
2025-03-18T00:00:00Z,2025-03-17T00:00:00Z,2025-03-18T00:00:00Z,dukascopy,XAUUSD,D1,2989.915,3002.665,2981.975,2999.518,2989.915,3002.665,2981.975,2999.518,,,,,,,,,,,,,1.0,0.0
2025-03-19T00:00:00Z,2025-03-18T00:00:00Z,2025-03-19T00:00:00Z,dukascopy,XAUUSD,D1,2999.508,3038.058,2999.258,3031.528,2999.508,3038.058,2999.258,3031.528,,,,,,,,,,,,,1.0,0.0
2025-03-20T00:00:00Z,2025-03-19T00:00:00Z,2025-03-20T00:00:00Z,dukascopy,XAUUSD,D1,3031.565,3051.758,3022.315,3049.875,3031.565,3051.758,3022.315,3049.875,,,,,,,,,,,,,1.0,0.0
2025-03-21T00:00:00Z,2025-03-20T00:00:00Z,2025-03-21T00:00:00Z,dukascopy,XAUUSD,D1,3049.895,3057.245,3025.428,3046.245,3049.895,3057.245,3025.428,3046.245,,,,,,,,,,,,,1.0,0.0
2025-03-22T00:00:00Z,2025-03-21T00:00:00Z,2025-03-22T00:00:00Z,dukascopy,XAUUSD,D1,3046.245,3047.265,2999.268,3022.705,3046.245,3047.265,2999.268,3022.705,,,,,,,,,,,,,1.0,0.0
2025-03-23T00:00:00Z,2025-03-22T00:00:00Z,2025-03-23T00:00:00Z,dukascopy,XAUUSD,D1,3022.705,3022.705,3022.705,3022.705,3022.705,3022.705,3022.705,3022.705,,,,,,,,,,,,,1.0,0.0
2025-03-24T00:00:00Z,2025-03-23T00:00:00Z,2025-03-24T00:00:00Z,dukascopy,XAUUSD,D1,3020.155,3026.045,3020.155,3024.515,3020.155,3026.045,3020.155,3024.515,,,,,,,,,,,,,1.0,0.0
2025-03-25T00:00:00Z,2025-03-24T00:00:00Z,2025-03-25T00:00:00Z,dukascopy,XAUUSD,D1,3024.448,3033.135,3002.145,3009.595,3024.448,3033.135,3002.145,3009.595,,,,,,,,,,,,,1.0,0.0
2025-03-26T00:00:00Z,2025-03-25T00:00:00Z,2025-03-26T00:00:00Z,dukascopy,XAUUSD,D1,3009.615,3035.905,3007.315,3020.775,3009.615,3035.905,3007.315,3020.775,,,,,,,,,,,,,1.0,0.0
2025-03-27T00:00:00Z,2025-03-26T00:00:00Z,2025-03-27T00:00:00Z,dukascopy,XAUUSD,D1,3020.765,3031.945,3012.125,3021.395,3020.765,3031.945,3012.125,3021.395,,,,,,,,,,,,,1.0,0.0
2025-03-28T00:00:00Z,2025-03-27T00:00:00Z,2025-03-28T00:00:00Z,dukascopy,XAUUSD,D1,3021.368,3059.518,3021.355,3055.275,3021.368,3059.518,3021.355,3055.275,,,,,,,,,,,,,1.0,0.0
2025-03-29T00:00:00Z,2025-03-28T00:00:00Z,2025-03-29T00:00:00Z,dukascopy,XAUUSD,D1,3055.185,3086.725,3054.685,3083.898,3055.185,3086.725,3054.685,3083.898,,,,,,,,,,,,,1.0,0.0
2025-03-30T00:00:00Z,2025-03-29T00:00:00Z,2025-03-30T00:00:00Z,dukascopy,XAUUSD,D1,3083.898,3083.898,3083.898,3083.898,3083.898,3083.898,3083.898,3083.898,,,,,,,,,,,,,1.0,0.0
2025-03-31T00:00:00Z,2025-03-30T00:00:00Z,2025-03-31T00:00:00Z,dukascopy,XAUUSD,D1,3086.498,3097.715,3085.355,3088.898,3086.498,3097.715,3085.355,3088.898,,,,,,,,,,,,,1.0,0.0
2025-04-01T00:00:00Z,2025-03-31T00:00:00Z,2025-04-01T00:00:00Z,dukascopy,XAUUSD,D1,3088.845,3127.825,3076.485,3120.348,3088.845,3127.825,3076.485,3120.348,,,,,,,,,,,,,1.0,0.0
