evidence_partition,date_utc,utc_block_start_ms,candidate_time_utc,candidate_time_msc,side,signed_update_imbalance,displacement_price,entry_time_msc,entry_delay_ms,entry_bid,entry_ask,exit_time_msc,exit_delay_ms,exit_bid,exit_ask,observed_bidask_move,base_pnl_dollars,stress_pnl_dollars,reference_lot
EARLY_REPLICATION,2019-09-30,1569801600000,2019-09-30T02:53:08.473000Z,1569811988473,SHORT,-0.75,-0.6749999999999545,1569811988523,50,1492.028,1492.342,1569812109703,1180,1492.025,1492.322,-0.29399999999986903,-0.393999999999869,-0.5939999999998691,0.01
EARLY_REPLICATION,2019-09-30,1569816000000,2019-09-30T06:15:20.196000Z,1569824120196,SHORT,-0.7777777777777778,-0.7229999999999563,1569824120297,101,1490.055,1490.382,1569824240826,529,1490.875,1491.195,-1.1399999999998727,-1.2399999999998728,-1.4399999999998727,0.01
EARLY_REPLICATION,2019-09-30,1569859200000,2019-09-30T16:35:03.350000Z,1569861303350,LONG,0.75,0.6150000000000091,1569861304047,697,1472.255,1472.525,1569861424088,41,1471.118,1471.395,-1.4070000000001528,-1.5070000000001529,-1.7070000000001528,0.01
EARLY_REPLICATION,2019-10-01,1569888000000,2019-10-01T01:57:28.347000Z,1569895048347,SHORT,-0.75,-1.00649999999996,1569895048398,51,1468.398,1468.735,1569895169392,994,1468.805,1469.112,-0.7140000000001692,-0.8140000000001691,-1.0140000000001692,0.01
EARLY_REPLICATION,2019-10-01,1569916800000,2019-10-01T10:22:41.624000Z,1569925361624,LONG,0.75,0.6085000000000491,1569925361705,81,1467.445,1467.752,1569925482226,521,1468.228,1468.545,0.4760000000001128,0.3760000000001128,0.1760000000001128,0.01
EARLY_REPLICATION,2019-10-02,1569988800000,2019-10-02T07:25:07.690000Z,1570001107690,LONG,0.7647058823529411,0.6750000000001819,1570001107741,51,1482.555,1482.845,1570001227751,10,1482.008,1482.315,-0.8369999999999891,-0.9369999999999891,-1.1369999999999891,0.01
EARLY_REPLICATION,2019-10-02,1570032000000,2019-10-02T16:01:49.891000Z,1570032109891,LONG,0.8,0.6550000000002001,1570032109942,51,1499.285,1499.582,1570032231130,1188,1499.985,1500.302,0.40299999999979264,0.30299999999979266,0.10299999999979265,0.01
EARLY_REPLICATION,2019-10-03,1570060800000,2019-10-03T00:00:13.446000Z,1570060813446,LONG,1.0,0.6115000000002055,1570060813547,101,1500.625,1500.932,1570060933665,118,1501.008,1501.345,0.07600000000002183,-0.023999999999978178,-0.22399999999997816,0.01
EARLY_REPLICATION,2019-10-07,1570449600000,2019-10-07T12:16:13.382000Z,1570450573382,SHORT,-0.7777777777777778,-0.650000000000091,1570450573432,50,1499.125,1499.395,1570450693874,442,1499.275,1499.565,-0.44000000000005457,-0.5400000000000545,-0.7400000000000546,0.01
EARLY_REPLICATION,2019-10-10,1570708800000,2019-10-10T13:55:21.389000Z,1570715721389,LONG,0.7857142857142857,0.6199999999998909,1570715721539,150,1494.705,1494.992,1570715841704,165,1495.555,1495.872,0.5630000000001019,0.4630000000001019,0.2630000000001019,0.01
EARLY_REPLICATION,2020-01-06,1578312000000,2020-01-06T12:36:13.014000Z,1578314173014,SHORT,-0.8,-0.662499999999909,1578314173064,50,1576.528,1576.765,1578314293188,124,1576.625,1576.912,-0.38400000000001455,-0.48400000000001453,-0.6840000000000146,0.01
EARLY_REPLICATION,2020-01-07,1578355200000,2020-01-07T01:00:10.178000Z,1578358810178,SHORT,-0.8947368421052632,-0.7214999999998781,1578358810228,50,1563.675,1563.985,1578358932154,1926,1563.695,1563.982,-0.30700000000001637,-0.40700000000001635,-0.6070000000000164,0.01
EARLY_REPLICATION,2020-01-07,1578384000000,2020-01-07T08:06:13.859000Z,1578384373859,SHORT,-0.7692307692307693,-0.643500000000131,1578384373909,50,1567.648,1567.935,1578384494026,117,1567.288,1567.545,0.10299999999983811,0.0029999999998381044,-0.19700000000016188,0.01
