family,symbol,rr,atr_mult,context_mult,trades,win_rate_pct,net_usd,profit_factor,expectancy_usd,avg_win_usd,avg_loss_usd,avg_stop_points,max_closed_drawdown_usd,max_closed_drawdown_pct,pf_excluding_best_5pct,active_days,trades_per_active_day,months_active,months_positive,months_positive_pct,median_bars_held,timeout_pct,ambiguous_bars
london_breakout,GBPUSD,1.2,3.0,0.5,1265,46.96,-202.03,0.9334,-0.1597,4.7705,-4.5242,518.0,293.41,2.934,0.7396,1189,1.064,66,31,47.0,86,25.2,2
london_breakout,GBPUSD,1.2,3.0,1.0,1259,46.94,-202.23,0.9332,-0.1606,4.7775,-4.5295,526.0,306.78,3.068,0.7393,1184,1.063,66,31,47.0,90,26.5,2
london_breakout,GBPUSD,1.5,1.0,0.0,1636,38.39,-183.47,0.9205,-0.1121,3.384,-2.2903,228.3,186.13,1.861,0.7668,1344,1.217,66,29,43.9,23,1.3,2
london_breakout,GBPUSD,1.5,1.0,0.5,1628,38.76,-174.16,0.9274,-0.107,3.5264,-2.4065,240.2,190.96,1.91,0.7484,1339,1.216,66,27,40.9,25,1.7,2
london_breakout,GBPUSD,1.5,1.0,1.0,1494,41.1,-202.82,0.9295,-0.1358,4.3533,-3.2679,356.2,242.2,2.422,0.7055,1231,1.214,66,26,39.4,50,13.5,1
london_breakout,GBPUSD,1.5,1.5,0.0,1599,38.52,-234.09,0.9113,-0.1464,3.9061,-2.6859,269.9,235.43,2.354,0.721,1318,1.213,66,27,40.9,32,2.9,2
london_breakout,GBPUSD,1.5,1.5,0.5,1596,38.66,-232.82,0.9128,-0.1459,3.9476,-2.7258,273.6,241.7,2.417,0.7197,1316,1.213,66,27,40.9,33,3.0,2
london_breakout,GBPUSD,1.5,1.5,1.0,1486,41.25,-187.81,0.9351,-0.1264,4.4128,-3.3137,361.5,234.89,2.349,0.7113,1228,1.21,66,26,39.4,52,13.9,1
london_breakout,GBPUSD,1.5,2.0,0.0,1484,40.5,-240.69,0.9186,-0.1622,4.5224,-3.3507,346.4,261.35,2.614,0.7202,1256,1.182,66,27,40.9,51,10.4,1
london_breakout,GBPUSD,1.5,2.0,0.5,1484,40.5,-244.04,0.9177,-0.1644,4.5266,-3.3573,346.9,265.01,2.65,0.719,1256,1.182,66,27,40.9,51,10.4,1
london_breakout,GBPUSD,1.5,2.0,1.0,1427,42.61,-127.58,0.9568,-0.0894,4.6422,-3.602,393.0,197.22,1.972,0.7362,1209,1.18,66,28,42.4,64,17.3,0
london_breakout,GBPUSD,1.5,3.0,0.0,1226,46.74,-5.25,0.9982,-0.0043,5.1356,-4.5144,518.7,207.02,2.07,0.7678,1149,1.067,66,34,51.5,116,33.0,0
london_breakout,GBPUSD,1.5,3.0,0.5,1226,46.74,-5.25,0.9982,-0.0043,5.1356,-4.5144,518.7,207.02,2.07,0.7678,1149,1.067,66,34,51.5,116,33.0,0
london_breakout,GBPUSD,1.5,3.0,1.0,1221,46.6,-15.65,0.9947,-0.0128,5.1583,-4.5257,526.4,221.51,2.215,0.7623,1145,1.066,66,34,51.5,122,33.8,0
london_breakout,GBPUSD,2.0,1.0,0.0,1611,32.4,-237.11,0.9049,-0.1472,4.3224,-2.2896,228.5,240.85,2.409,0.7276,1323,1.218,66,25,37.9,29,3.5,1
london_breakout,GBPUSD,2.0,1.0,0.5,1601,32.92,-220.05,0.9147,-0.1374,4.476,-2.4012,240.5,242.93,2.429,0.7085,1316,1.217,66,27,40.9,32,4.4,1
