evidence_partition,date_utc,utc_block_start_ms,candidate_time_utc,candidate_time_msc,side,signed_update_imbalance,displacement_price,entry_time_msc,entry_delay_ms,entry_bid,entry_ask,exit_time_msc,exit_delay_ms,exit_bid,exit_ask,observed_bidask_move,base_pnl_dollars,stress_pnl_dollars,reference_lot
DEVELOPMENT,2026-06-17,1781654400000,2026-06-17T00:00:13.351000Z,1781654413351,LONG,-0.8181818181818182,-1.2700000000004366,1781654413596,245,4331.18,4331.68,1781654533799,203,4331.68,4332.18,0.0,-0.1,-0.3,0.01
DEVELOPMENT,2026-06-17,1781668800000,2026-06-17T04:19:18.792000Z,1781669958792,LONG,-0.7037037037037037,-1.7899999999999636,1781669958801,9,4331.67,4332.17,1781670079569,768,4331.04,4331.54,-1.1300000000001091,-1.2300000000001092,-1.4300000000001092,0.01
DEVELOPMENT,2026-06-17,1781683200000,2026-06-17T08:18:45.371000Z,1781684325371,LONG,-0.7037037037037037,-1.2299999999995634,1781684325372,1,4322.29,4322.79,1781684445884,512,4323.41,4323.91,0.6199999999998909,0.5199999999998909,0.31999999999989087,0.01
DEVELOPMENT,2026-06-17,1781697600000,2026-06-17T12:07:49.006000Z,1781698069006,LONG,-0.8095238095238095,-1.2199999999993452,1781698069119,113,4322.47,4322.97,1781698189384,265,4322.7,4323.2,-0.27000000000043656,-0.37000000000043654,-0.5700000000004366,0.01
DEVELOPMENT,2026-06-17,1781712000000,2026-06-17T16:04:05.771000Z,1781712245771,SHORT,0.8,2.2299999999995634,1781712245909,138,4364.03,4364.53,1781712366015,106,4362.91,4363.41,0.6199999999998909,0.5199999999998909,0.31999999999989087,0.01
DEVELOPMENT,2026-06-17,1781726400000,2026-06-17T20:01:25.581000Z,1781726485581,LONG,-0.7692307692307693,-1.3100000000004002,1781726485582,1,4243.41,4243.91,1781726605713,131,4241.58,4242.08,-2.3299999999999272,-2.4299999999999273,-2.629999999999927,0.01
DEVELOPMENT,2026-06-18,1781740800000,2026-06-18T00:03:06.318000Z,1781740986318,SHORT,0.7142857142857143,1.300000000000182,1781740986321,3,4290.14,4290.64,1781741106374,53,4291.57,4292.07,-1.9299999999993815,-2.0299999999993816,-2.2299999999993814,0.01
DEVELOPMENT,2026-06-18,1781755200000,2026-06-18T04:00:57.210000Z,1781755257210,LONG,-0.7037037037037037,-1.2999999999992724,1781755257222,12,4320.39,4320.89,1781755377396,174,4322.2,4322.95,1.3099999999994907,1.2099999999994906,1.0099999999994906,0.01
DEVELOPMENT,2026-06-18,1781769600000,2026-06-18T08:01:49.696000Z,1781769709696,SHORT,0.7272727272727273,1.2200000000002547,1781769709803,107,4289.29,4290.04,1781769829896,93,4287.95,4288.45,0.8400000000001455,0.7400000000001455,0.5400000000001455,0.01
DEVELOPMENT,2026-06-18,1781784000000,2026-06-18T12:00:31.707000Z,1781784031707,SHORT,0.7209302325581395,1.800000000000182,1781784031976,269,4244.07,4244.57,1781784152036,60,4242.18,4242.93,1.139999999999418,1.0399999999994178,0.8399999999994179,0.01
DEVELOPMENT,2026-06-18,1781798400000,2026-06-18T16:02:05.188000Z,1781798525188,LONG,-0.7142857142857143,-1.2250000000003638,1781798525199,11,4228.34,4228.84,1781798645239,40,4226.2,4226.7,-2.6400000000003274,-2.7400000000003275,-2.9400000000003272,0.01
DEVELOPMENT,2026-06-18,1781812800000,2026-06-18T20:00:32.107000Z,1781812832107,SHORT,0.7058823529411765,1.8299999999999272,1781812832212,105,4216.61,4217.36,1781812952316,104,4216.07,4216.57,0.03999999999996362,-0.060000000000036385,-0.26000000000003637,0.01
DEVELOPMENT,2026-06-22,1782086400000,2026-06-22T00:08:48.802000Z,1782086928802,LONG,-0.7419354838709677,-1.2349999999996726,1782086928905,103,4144.93,4145.43,1782087048986,81,4148.72,4149.22,3.2899999999999636,3.1899999999999635,2.989999999999964,0.01
DEVELOPMENT,2026-06-22,1782100800000,2026-06-22T04:37:33.928000Z,1782103053928,LONG,-0.92,-1.3250000000007276,1782103054081,153,4177.3,4177.8,1782103174280,199,4177.41,4177.91,-0.3900000000003274,-0.4900000000003274,-0.6900000000003275,0.01
DEVELOPMENT,2026-06-22,1782115200000,2026-06-22T08:02:25.614000Z,1782115345614,SHORT,0.7,1.3049999999993815,1782115345714,100,4190.31,4191.06,1782115465938,224,4189.11,4189.61,0.7000000000007276,0.6000000000007276,0.4000000000007276,0.01
DEVELOPMENT,2026-06-22,1782129600000,2026-06-22T12:20:05.214000Z,1782130805214,SHORT,0.7,2.0150000000003274,1782130805320,106,4209.32,4209.82,1782130925403,83,4210.02,4210.77,-1.4500000000007276,-1.5500000000007277,-1.7500000000007276,0.01
DEVELOPMENT,2026-06-22,1782144000000,2026-06-22T16:00:25.292000Z,1782144025292,SHORT,0.9285714285714286,1.2599999999993088,1782144025298,6,4184.27,4184.77,1782144145352,54,4180.8,4181.3,2.9700000000002547,2.8700000000002546,2.670000000000255,0.01
DEVELOPMENT,2026-06-23,1782172800000,2026-06-23T00:06:46.342000Z,1782173206342,LONG,-0.7037037037037037,-1.444999999999709,1782173206730,388,4186.5,4187.25,1782173326745,15,4183.96,4184.71,-3.2899999999999636,-3.3899999999999637,-3.5899999999999634,0.01
DEVELOPMENT,2026-06-23,1782187200000,2026-06-23T04:35:49.309000Z,1782189349309,SHORT,0.8064516129032258,1.4099999999998545,1782189349333,24,4136.55,4137.05,1782189469670,337,4137.73,4138.48,-1.9299999999993815,-2.0299999999993816,-2.2299999999993814,0.01
DEVELOPMENT,2026-06-23,1782201600000,2026-06-23T08:01:59.501000Z,1782201719501,LONG,-0.7037037037037037,-1.3149999999995998,1782201719504,3,4096.12,4096.62,1782201839543,39,4097.16,4097.91,0.5399999999999636,0.43999999999996364,0.23999999999996363,0.01
DEVELOPMENT,2026-06-23,1782216000000,2026-06-23T12:00:47.305000Z,1782216047305,SHORT,0.7241379310344828,1.2899999999999636,1782216047328,23,4126.68,4127.18,1782216167938,610,4126.54,4127.29,-0.6099999999996726,-0.7099999999996726,-0.9099999999996726,0.01
DEVELOPMENT,2026-06-23,1782230400000,2026-06-23T16:18:26.619000Z,1782231506619,SHORT,0.92,1.2200000000002547,1782231506659,40,4134.73,4135.48,1782231627074,415,4137.21,4137.96,-3.230000000000473,-3.330000000000473,-3.5300000000004728,0.01
DEVELOPMENT,2026-06-23,1782244800000,2026-06-23T22:19:01.981000Z,1782253141981,LONG,-0.7037037037037037,-1.2600000000002183,1782253142053,72,4112.09,4112.59,1782253262459,406,4107.0,4107.75,-5.5900000000001455,-5.690000000000145,-5.890000000000145,0.01
