timestamp_broker	timestamp_local	run_id	account	symbol	magic	action	direction	lots	bid	ask	spread_points	entry_reference	sl	tp	stop_points	estimated_cost_r	retcode	retcode_description	order_ticket	deal_ticket	result_price	reason
2021.11.08 04:00:00	2021.11.08 04:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1820.01	1820.07	6	1820.01	0.00	0.00	3491.00	0.0017	0		0	0	0.00	minimum_lot_risk_excess	
2021.11.08 16:00:00	2021.11.08 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1824.06	1824.11	5	1824.06	0.00	0.00	3896.00	0.0013	0		0	0	0.00	minimum_lot_risk_excess	
2021.11.09 16:00:00	2021.11.09 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	ORDER_SEND_OK	LONG	0.01	1828.42	1828.47	5	1828.47	1812.51	1860.39	1596.00	0.0031	10009	done at 1828.47	58	58	1828.47	pass	
2021.11.10 16:00:00	2021.11.10 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1854.98	1855.03	5	1854.93	0.00	0.00	4247.00	0.0012	0		0	0	0.00	minimum_lot_risk_excess	
2021.11.16 08:00:00	2021.11.16 08:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1872.08	1872.13	5	1872.08	0.00	0.00	1570.00	0.0032	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2021.11.16 16:00:00	2021.11.16 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1855.15	1855.20	5	1855.16	0.00	0.00	1514.00	0.0033	0		0	0	0.00	direction_mode_block	
2021.11.19 20:00:00	2021.11.19 20:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1847.05	1847.19	14	1846.98	0.00	0.00	2396.00	0.0058	0		0	0	0.00	direction_mode_block	
2021.11.22 12:00:00	2021.11.22 12:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1839.91	1839.96	5	1839.91	0.00	0.00	2581.00	0.0019	0		0	0	0.00	direction_mode_block	
2021.11.23 08:00:00	2021.11.23 08:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1800.98	1801.03	5	1800.98	0.00	0.00	4817.00	0.0010	0		0	0	0.00	direction_mode_block	
2021.11.26 04:00:00	2021.11.26 04:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1797.02	1797.07	5	1797.03	0.00	0.00	1849.00	0.0027	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2021.11.30 16:00:00	2021.11.30 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1774.44	1774.56	12	1774.21	0.00	0.00	2518.00	0.0048	0		0	0	0.00	direction_mode_block	
2021.12.02 16:00:00	2021.12.02 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1766.76	1766.81	5	1766.77	0.00	0.00	4197.00	0.0012	0		0	0	0.00	direction_mode_block	
2021.12.08 04:00:00	2021.12.08 04:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1789.42	1789.47	5	1789.42	0.00	0.00	1707.00	0.0029	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2021.12.10 08:00:00	2021.12.10 08:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1771.61	1771.66	5	1771.67	0.00	0.00	2148.00	0.0023	0		0	0	0.00	direction_mode_block	
2021.12.13 12:00:00	2021.12.13 12:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1790.00	1790.05	5	1790.00	0.00	0.00	1990.00	0.0025	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.12.14 16:00:00	2021.12.14 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1773.55	1773.60	5	1773.55	0.00	0.00	1802.00	0.0028	0		0	0	0.00	direction_mode_block	
2021.12.16 16:00:00	2021.12.16 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1798.70	1798.75	5	1798.70	0.00	0.00	4636.00	0.0011	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.12.17 04:00:00	2021.12.17 04:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1802.67	1802.72	5	1802.76	0.00	0.00	5042.00	0.0010	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
