family,regime,eligible_date,decision_id,clock_minute,macro_family,macro_signal_time_utc,macro_age_hours,initial_value,rolling_median_initial_value,release_gap_from_rolling_median,side,window,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,risk_pips,r,portfolio_r,extra_half_pip_stress_r,extra_half_pip_stress_portfolio_r,fixed_0p01_lot_usd
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-17,2021-12-17T0015,15,PPI,2021-12-14 13:30:00+00:00,58.75,0.8,0.75,0.050000000000000044,SHORT,development_2019_2022,2021-12-17 00:15:00+00:00,2021-12-17 01:25:00+00:00,1.13316,1.13356,1.13256,1.13257,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-17,2021-12-17T0030,30,PPI,2021-12-14 13:30:00+00:00,59.0,0.8,0.75,0.050000000000000044,SHORT,development_2019_2022,2021-12-17 00:30:00+00:00,2021-12-17 01:25:00+00:00,1.13316,1.13356,1.13256,1.13257,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-17,2021-12-17T0045,45,PPI,2021-12-14 13:30:00+00:00,59.25,0.8,0.75,0.050000000000000044,SHORT,development_2019_2022,2021-12-17 00:45:00+00:00,2021-12-17 01:30:00+00:00,1.13292,1.1333199999999999,1.13232,1.13233,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2022-01-10,2022-01-10T0000,0,NFP,2022-01-07 13:30:00+00:00,58.5,199000.0,383000.0,-184000.0,LONG,development_2019_2022,2022-01-10 00:00:00+00:00,2022-01-10 01:50:00+00:00,1.13541,1.13501,1.13601,1.135,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2022-01-10,2022-01-10T0015,15,NFP,2022-01-07 13:30:00+00:00,58.75,199000.0,383000.0,-184000.0,LONG,development_2019_2022,2022-01-10 00:15:00+00:00,2022-01-10 02:10:00+00:00,1.1352900000000001,1.1348900000000002,1.13589,1.13488,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2022-01-10,2022-01-10T0030,30,NFP,2022-01-07 13:30:00+00:00,59.0,199000.0,383000.0,-184000.0,LONG,development_2019_2022,2022-01-10 00:30:00+00:00,2022-01-10 01:55:00+00:00,1.13537,1.13497,1.13597,1.13496,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2022-01-10,2022-01-10T0045,45,NFP,2022-01-07 13:30:00+00:00,59.25,199000.0,383000.0,-184000.0,LONG,development_2019_2022,2022-01-10 00:45:00+00:00,2022-01-10 01:40:00+00:00,1.13581,1.13541,1.13641,1.1354,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2022-01-13,2022-01-13T0000,0,CPI,2022-01-12 13:30:00+00:00,10.5,0.5,0.65,-0.15000000000000002,LONG,development_2019_2022,2022-01-13 00:00:00+00:00,2022-01-13 00:05:00+00:00,1.14401,1.14361,1.14461,1.1445999999999998,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2022-01-13,2022-01-13T0015,15,CPI,2022-01-12 13:30:00+00:00,10.75,0.5,0.65,-0.15000000000000002,LONG,development_2019_2022,2022-01-13 00:15:00+00:00,2022-01-13 00:55:00+00:00,1.1444100000000001,1.1440100000000002,1.14501,1.1440000000000001,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2022-01-13,2022-01-13T0030,30,CPI,2022-01-12 13:30:00+00:00,11.0,0.5,0.65,-0.15000000000000002,LONG,development_2019_2022,2022-01-13 00:30:00+00:00,2022-01-13 01:55:00+00:00,1.14413,1.1437300000000001,1.14473,1.14372,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2022-01-13,2022-01-13T0045,45,CPI,2022-01-12 13:30:00+00:00,11.25,0.5,0.65,-0.15000000000000002,LONG,development_2019_2022,2022-01-13 00:45:00+00:00,2022-01-13 01:50:00+00:00,1.14433,1.1439300000000001,1.14493,1.14392,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2022-02-07,2022-02-07T0000,0,NFP,2022-02-04 13:30:00+00:00,58.5,467000.0,222500.0,244500.0,SHORT,development_2019_2022,2022-02-07 00:00:00+00:00,2022-02-07 01:05:00+00:00,1.14544,1.14584,1.14484,1.1448500000000001,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2022-02-07,2022-02-07T0015,15,NFP,2022-02-04 13:30:00+00:00,58.75,467000.0,222500.0,244500.0,SHORT,development_2019_2022,2022-02-07 00:15:00+00:00,2022-02-07 01:05:00+00:00,1.1454,1.1458,1.1448,1.14481,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2022-02-07,2022-02-07T0030,30,NFP,2022-02-04 13:30:00+00:00,59.0,467000.0,222500.0,244500.0,SHORT,development_2019_2022,2022-02-07 00:30:00+00:00,2022-02-07 00:40:00+00:00,1.1451399999999998,1.1455399999999998,1.14454,1.1455499999999998,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
