report_date,market,cftc_contract_market_code,open_interest_all,producer_long_all,producer_short_all,swap_long_all,swap_short_all,managed_money_long_all,managed_money_short_all,managed_money_spread_all,other_reportable_long_all,other_reportable_short_all,nonreportable_long_all,nonreportable_short_all
2018-06-19,GOLD - COMMODITY EXCHANGE INC.,088691,468345,45041,116231,95221,138155,94297,83769,29797,108618,22634,47073,29461
2018-06-26,GOLD - COMMODITY EXCHANGE INC.,088691,468573,45108,116919,101135,124287,94845,94869,25265,100273,23577,50420,32129
2018-07-03,GOLD - COMMODITY EXCHANGE INC.,088691,494164,40794,112038,96505,118411,104275,105529,29631,106208,26627,51099,36276
2018-07-10,GOLD - COMMODITY EXCHANGE INC.,088691,503593,34107,103749,92406,123158,107402,109929,40532,106908,22947,53355,34395
2018-07-17,GOLD - COMMODITY EXCHANGE INC.,088691,528278,29729,101723,102289,103930,107775,134224,51880,110652,26362,51491,35697
2018-07-24,GOLD - COMMODITY EXCHANGE INC.,088691,496620,27066,84366,96946,105314,110249,146671,32937,110371,25352,54742,37671
2018-07-31,GOLD - COMMODITY EXCHANGE INC.,088691,452655,26485,79249,96716,91870,110580,153108,27121,98675,20810,50018,37437
2018-08-07,GOLD - COMMODITY EXCHANGE INC.,088691,459474,24692,72357,105342,83286,105849,171965,27912,102443,23639,48402,35481
2018-08-14,GOLD - COMMODITY EXCHANGE INC.,088691,476739,27574,66183,109688,78429,104803,188127,29558,106976,27340,46373,35335
2018-08-21,GOLD - COMMODITY EXCHANGE INC.,088691,483730,26516,63915,109023,73309,107143,197171,30374,106357,25039,44895,34500
2018-08-28,GOLD - COMMODITY EXCHANGE INC.,088691,479283,26507,67699,108361,75431,105971,181743,36694,101399,28690,45508,34183
2018-09-04,GOLD - COMMODITY EXCHANGE INC.,088691,473118,27115,65731,111868,66727,101651,184373,33098,98111,28886,49169,42197
2018-09-11,GOLD - COMMODITY EXCHANGE INC.,088691,469450,28256,68613,111917,71547,100593,175812,34119,97774,30145,47866,40289
2018-09-18,GOLD - COMMODITY EXCHANGE INC.,088691,469436,29357,68328,111685,71023,97904,180367,33342,99893,28274,43868,34715
2018-09-25,GOLD - COMMODITY EXCHANGE INC.,088691,460279,27277,67802,110272,62667,98513,182190,32463,94427,28398,47538,36970
2018-10-02,GOLD - COMMODITY EXCHANGE INC.,088691,459776,31567,70177,108806,61321,100671,180274,33456,91819,34038,49286,36339
2018-10-09,GOLD - COMMODITY EXCHANGE INC.,088691,465253,35501,69634,111386,51387,82218,191672,46545,97528,26249,47441,35132
2018-10-16,GOLD - COMMODITY EXCHANGE INC.,088691,474418,36197,98154,105647,75686,95333,144715,52529,93867,26818,47797,33468
2018-10-23,GOLD - COMMODITY EXCHANGE INC.,088691,477832,34663,102587,102239,80835,99368,137484,53561,93210,25706,47890,30758
2018-10-30,GOLD - COMMODITY EXCHANGE INC.,088691,474941,36057,97111,102321,72472,80105,135628,66673,88649,19932,48870,30859
2018-11-06,GOLD - COMMODITY EXCHANGE INC.,088691,494911,37023,99334,99126,74951,82188,129634,69288,86953,20481,48615,29505
2018-11-13,GOLD - COMMODITY EXCHANGE INC.,088691,539520,47551,89514,105368,65228,79529,158723,97716,88887,18940,46932,35862
2018-11-20,GOLD - COMMODITY EXCHANGE INC.,088691,525940,47454,93564,101125,78155,84356,136207,85936,81150,20403,43791,29547
