trade_id,expert,cell_id,symbol,broker,cost_model,entry_time_utc,exit_time_utc,direction,entry_price,stop_loss,take_profit,exit_price,net_pnl,r_multiple,setup_reason_code,chart_context_start_utc,chart_context_end_utc,manual_failure_class,manual_notes,reviewer,reviewed_at_utc
trend_pullback-cell7-763,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-13T10:50:00+00:00,2022-10-13T11:30:00+00:00,SHORT,1673.725,1675.9462672398415,1670.4180991402372,1675.9462672398415,-66.63801719524827,-0.9964211767388942,market_next_bar_open,2022-10-13T06:50:00+00:00,2022-10-13T12:30:00+00:00,,,,
trend_pullback-cell7-766,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-14T06:15:00+00:00,2022-10-14T06:20:00+00:00,SHORT,1669.798,1671.0938356686147,1667.9792464970778,1671.0938356686147,-66.0876190993497,-0.9911105836253048,market_next_bar_open,2022-10-14T02:15:00+00:00,2022-10-14T07:20:00+00:00,,,,
trend_pullback-cell7-767,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-14T06:25:00+00:00,2022-10-14T06:30:00+00:00,SHORT,1669.678,1671.3308356686148,1667.323746497078,1671.3308356686148,-66.11342674458683,-0.9964355076441987,market_next_bar_open,2022-10-14T02:25:00+00:00,2022-10-14T07:30:00+00:00,,,,
trend_pullback-cell7-777,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-19T19:45:00+00:00,2022-10-19T22:25:00+00:00,SHORT,1628.958,1629.9271930071989,1627.5467104892014,1629.9271930071989,-66.874317496716,-0.9972398935690164,market_next_bar_open,2022-10-19T15:45:00+00:00,2022-10-19T23:25:00+00:00,,,,
trend_pullback-cell7-779,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-20T00:00:00+00:00,2022-10-20T00:15:00+00:00,SHORT,1626.857,1628.133239570196,1625.345140644706,1628.133239570196,-66.36445765019926,-0.9879604479126984,market_next_bar_open,2022-10-19T20:00:00+00:00,2022-10-20T01:15:00+00:00,,,,
trend_pullback-cell7-782,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-20T03:35:00+00:00,2022-10-20T04:20:00+00:00,SHORT,1625.448,1627.0691583174507,1623.141262523824,1627.0691583174507,-66.46749101547607,-0.980266695652805,market_next_bar_open,2022-10-19T23:35:00+00:00,2022-10-20T05:20:00+00:00,,,,
trend_pullback-cell7-783,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-20T08:20:00+00:00,2022-10-20T09:40:00+00:00,SHORT,1631.537,1634.1717815765066,1627.73482763524,1634.1717815765066,-65.86953941266529,-0.9762329112375008,market_next_bar_open,2022-10-20T04:20:00+00:00,2022-10-20T10:40:00+00:00,,,,
trend_pullback-cell7-789,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-20T23:45:00+00:00,2022-10-21T00:05:00+00:00,SHORT,1626.218,1627.2323961649788,1624.746405752532,1627.2323961649788,-66.95014688859646,-0.9874383951453072,market_next_bar_open,2022-10-20T19:45:00+00:00,2022-10-21T01:05:00+00:00,,,,
trend_pullback-cell7-790,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-21T01:00:00+00:00,2022-10-21T01:20:00+00:00,SHORT,1626.688,1627.6513980201396,1625.3679029697907,1627.6513980201396,-67.43786140976454,-0.9995666813128284,market_next_bar_open,2022-10-20T21:00:00+00:00,2022-10-21T02:20:00+00:00,,,,
trend_pullback-cell7-793,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-24T00:40:00+00:00,2022-10-24T00:55:00+00:00,LONG,1660.168,1657.5090103112077,1664.0789845331883,1657.5090103112077,-66.47474221980474,-0.988067634720998,market_next_bar_open,2022-10-23T20:40:00+00:00,2022-10-24T01:55:00+00:00,,,,
trend_pullback-cell7-796,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-25T13:05:00+00:00,2022-10-25T13:15:00+00:00,SHORT,1642.367,1645.1549249112493,1638.360112633126,1645.1549249112493,-66.91019786998368,-0.9972723289976848,market_next_bar_open,2022-10-25T09:05:00+00:00,2022-10-25T14:15:00+00:00,,,,
trend_pullback-cell7-803,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-27T03:10:00+00:00,2022-10-27T06:45:00+00:00,LONG,1665.637,1661.9356397993631,1671.3665403009552,1661.9356397993631,-66.6244836114588,-0.99136895774348,market_next_bar_open,2022-10-26T23:10:00+00:00,2022-10-27T07:45:00+00:00,,,,
trend_pullback-cell7-812,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-11-03T13:45:00+00:00,2022-11-03T14:05:00+00:00,SHORT,1620.608,1623.757230720688,1616.009153918968,1623.757230720688,-66.13384513444612,-0.9919343688446528,market_next_bar_open,2022-11-03T09:45:00+00:00,2022-11-03T15:05:00+00:00,,,,
trend_pullback-cell7-836,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-11-14T03:25:00+00:00,2022-11-14T04:20:00+00:00,LONG,1765.588,1760.8743318020652,1772.5335022969025,1760.8743318020652,-65.99135477108712,-0.9961202334892402,market_next_bar_open,2022-11-13T23:25:00+00:00,2022-11-14T05:20:00+00:00,,,,
trend_pullback-cell7-987,trend_pullback,7,XAUUSD,dukascopy,best_case,2023-01-05T06:40:00+00:00,2023-01-05T07:00:00+00:00,LONG,1853.855,1851.6790976244315,1857.0188535633529,1851.6790976244315,-58.74936414034983,-0.9912936230179354,market_next_bar_open,2023-01-05T02:40:00+00:00,2023-01-05T08:00:00+00:00,,,,
trend_pullback-cell7-1415,trend_pullback,7,XAUUSD,dukascopy,best_case,2023-06-15T13:05:00+00:00,2023-06-15T13:10:00+00:00,SHORT,1933.995,1936.3739083417595,1930.351637487361,1936.3739083417595,-54.71489186046552,-0.9608512639673816,market_next_bar_open,2023-06-15T09:05:00+00:00,2023-06-15T14:10:00+00:00,,,,
trend_pullback-cell7-1449,trend_pullback,7,XAUUSD,dukascopy,best_case,2023-06-23T03:30:00+00:00,2023-06-23T03:55:00+00:00,SHORT,1911.465,1912.055946160252,1910.7535807596228,1912.055946160252,-57.32177754438634,-0.9979420863153804,market_next_bar_open,2023-06-22T23:30:00+00:00,2023-06-23T04:55:00+00:00,,,,
trend_pullback-cell7-1835,trend_pullback,7,XAUUSD,dukascopy,best_case,2023-10-27T04:00:00+00:00,2023-10-27T06:35:00+00:00,LONG,1987.945,1986.1919808763164,1990.1745286855255,1986.1919808763164,-61.35566932892402,-0.999087062879883,market_next_bar_open,2023-10-27T00:00:00+00:00,2023-10-27T07:35:00+00:00,,,,
trend_pullback-cell7-1989,trend_pullback,7,XAUUSD,dukascopy,best_case,2023-12-18T19:15:00+00:00,2023-12-19T02:20:00+00:00,LONG,2026.505,2024.615123990916,2029.3648140136263,2024.615123990916,-58.58615628160373,-0.999125576779274,market_next_bar_open,2023-12-18T15:15:00+00:00,2023-12-19T03:20:00+00:00,,,,
trend_pullback-cell7-2160,trend_pullback,7,XAUUSD,dukascopy,best_case,2024-02-12T18:15:00+00:00,2024-02-12T18:40:00+00:00,SHORT,2017.865,2020.3154711941493,2014.314293208776,2020.3154711941493,-51.45989507713921,-0.9546336975950546,market_next_bar_open,2024-02-12T14:15:00+00:00,2024-02-12T19:40:00+00:00,,,,
trend_pullback-cell7-2195,trend_pullback,7,XAUUSD,dukascopy,best_case,2024-02-21T14:25:00+00:00,2024-02-21T14:35:00+00:00,LONG,2029.635,2027.685512184699,2032.4092317229515,2027.685512184699,-52.63617101312502,-0.98408787755229,market_next_bar_open,2024-02-21T10:25:00+00:00,2024-02-21T15:35:00+00:00,,,,
trend_pullback-cell7-2606,trend_pullback,7,XAUUSD,dukascopy,best_case,2024-07-16T23:55:00+00:00,2024-07-17T00:05:00+00:00,LONG,2468.605,2467.1391236975915,2470.6038144536133,2467.1391236975915,-57.169175793933846,-0.9938479964888444,market_next_bar_open,2024-07-16T19:55:00+00:00,2024-07-17T01:05:00+00:00,,,,
trend_pullback-cell7-2890,trend_pullback,7,XAUUSD,dukascopy,best_case,2024-11-05T10:35:00+00:00,2024-11-05T11:45:00+00:00,SHORT,2738.055,2742.343669118793,2731.7469963218105,2742.343669118793,-51.46402942551868,-0.929326829507306,market_next_bar_open,2024-11-05T06:35:00+00:00,2024-11-05T12:45:00+00:00,,,,
trend_pullback-cell7-2991,trend_pullback,7,XAUUSD,dukascopy,best_case,2024-12-12T05:00:00+00:00,2024-12-12T06:15:00+00:00,LONG,2712.5750000000003,2709.626874909542,2716.7721876356877,2709.626874909542,-56.01437671870645,-0.9915193511423795,market_next_bar_open,2024-12-12T01:00:00+00:00,2024-12-12T07:15:00+00:00,,,,
