event_id,event_type,event_time_utc,event_date,reference,source_kind,source_url,release_time_rule
PPI_2023-05-11,PPI,2023-05-11 12:30:00+00:00,2023-05-11,April 2023,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_05112023.htm,08:30 America/New_York
PPI_2023-06-14,PPI,2023-06-14 12:30:00+00:00,2023-06-14,May 2023,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_06142023.htm,08:30 America/New_York
PPI_2023-07-13,PPI,2023-07-13 12:30:00+00:00,2023-07-13,June 2023,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_07132023.htm,08:30 America/New_York
PPI_2023-08-11,PPI,2023-08-11 12:30:00+00:00,2023-08-11,July 2023,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_08112023.htm,08:30 America/New_York
PPI_2023-09-14,PPI,2023-09-14 12:30:00+00:00,2023-09-14,August 2023,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_09142023.htm,08:30 America/New_York
PPI_2023-10-11,PPI,2023-10-11 12:30:00+00:00,2023-10-11,September 2023,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_10112023.htm,08:30 America/New_York
PPI_2023-11-15,PPI,2023-11-15 13:30:00+00:00,2023-11-15,October 2023,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_11152023.htm,08:30 America/New_York
PPI_2023-12-13,PPI,2023-12-13 13:30:00+00:00,2023-12-13,November 2023,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_12132023.htm,08:30 America/New_York
PPI_2024-01-12,PPI,2024-01-12 13:30:00+00:00,2024-01-12,December 2023,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_01122024.htm,08:30 America/New_York
PPI_2024-02-16,PPI,2024-02-16 13:30:00+00:00,2024-02-16,January 2024,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_02162024.htm,08:30 America/New_York
PPI_2024-03-14,PPI,2024-03-14 12:30:00+00:00,2024-03-14,February 2024,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_03142024.htm,08:30 America/New_York
PPI_2024-04-11,PPI,2024-04-11 12:30:00+00:00,2024-04-11,March 2024,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_04112024.htm,08:30 America/New_York
PPI_2024-05-14,PPI,2024-05-14 12:30:00+00:00,2024-05-14,April 2024,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_05142024.htm,08:30 America/New_York
PPI_2024-06-13,PPI,2024-06-13 12:30:00+00:00,2024-06-13,May 2024,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_06132024.htm,08:30 America/New_York
PPI_2024-07-12,PPI,2024-07-12 12:30:00+00:00,2024-07-12,June 2024,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_07122024.htm,08:30 America/New_York
PPI_2024-08-13,PPI,2024-08-13 12:30:00+00:00,2024-08-13,July 2024,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_08132024.htm,08:30 America/New_York
PPI_2024-09-12,PPI,2024-09-12 12:30:00+00:00,2024-09-12,August 2024,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_09122024.htm,08:30 America/New_York
PPI_2024-10-11,PPI,2024-10-11 12:30:00+00:00,2024-10-11,September 2024,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_10112024.htm,08:30 America/New_York
PPI_2024-11-14,PPI,2024-11-14 13:30:00+00:00,2024-11-14,October 2024,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_11142024.htm,08:30 America/New_York
